bearing_deg,distance_cm,all_readings_cm
-35,298.6,46.7 298.6
-30,298.6,298.6 297.7
-25,298.2,298.2 50.7
-20,297.3,297.3 50.3
-15,240.1,240.1 47.3
-10,46.7,46.3 46.7
-5,46.6,46.3 46.6
0,45.8,45.8 45.7
5,45.0,44.9 45.0
10,45.0,44.4 45.0
15,44.6,44.0 44.6
20,44.4,44.4 38.7
25,37.9,37.9 37.1
30,37.3,37.3 37.3
35,37.5,37.5 36.8
