bearing_deg,distance_cm,all_readings_cm
-35,290.6,291.1 290.6 93.6 93.1
-30,95.4,291.1 291.2 291.9 95.1 95.4 92.6 94.0
-25,300.0,300.0 94.8 300.0
-15,300.0,300.0 177.2
-10,202.8,300.0 202.8 174.8 177.2
-5,171.4,158.3 175.9 171.4
0,300.0,300.0 300.0
5,296.7,296.7 160.6 296.7 160.9 297.5
10,295.8,159.9 295.8 295.8 295.8 296.7 296.5
15,295.8,295.8 295.2 295.7 295.8 296.9 296.5
20,295.2,295.2 45.8 51.0 295.7 295.9 295.6 45.0
25,45.0,46.7 44.0 44.0 45.8 45.0 45.8 44.0
30,44.0,44.4 44.8 43.4 44.9 44.0 43.6 44.0
35,43.4,43.4 43.4 44.0
